model_type,clf,parameters,auc-roc,p_at_5,p_at_10,p_at_20,time
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt'}",0.7215816402105331,0.4512,0.42133333333333334,0.21066666666666667,0.9353268070844933
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100, 'max_features': 'sqrt'}",0.7215773773769524,0.4512,0.42133333333333334,0.21066666666666667,2.106767756980844
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'max_features': 'sqrt'}",0.7215567821058849,0.45066666666666666,0.42133333333333334,0.21066666666666667,0.36590591398999095
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'max_features': 'sqrt'}",0.721568924722751,0.4512,0.42133333333333334,0.21066666666666667,2.7799396900227293
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'log2'}",0.7215546085662332,0.45066666666666666,0.42133333333333334,0.21066666666666667,0.366080726031214
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100, 'max_features': 'log2'}",0.7215760238290039,0.4512,0.42133333333333334,0.21066666666666667,2.273806132026948
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10, 'max_features': 'log2'}",0.7215479138394504,0.4512,0.42133333333333334,0.21066666666666667,0.3650945060653612
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100, 'max_features': 'log2'}",0.7215631398497759,0.4512,0.42133333333333334,0.21066666666666667,1.9957390750059858
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'min_samples_split': 2, 'n_estimators': 10, 'max_features': 'sqrt'}",0.7201002521856402,0.44693333333333335,0.4202666666666667,0.21013333333333334,0.3607583310222253
RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_impurity_split=1e-07, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            n_estimators=100, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False)","{'max_depth': 50, 'min_samples_split': 2, 'n_estimators': 100, 'max_features': 'sqrt'}",0.7205357351766478,0.4474666666666667,0.4202666666666667,0.21013333333333334,2.128817185992375
